code,title,description
01.0605,Landscaping and Groundskeeping.,"A course that prepares individuals to manage and maintain indoor and/or outdoor ornamental and recreational plants and groundcovers and related conceptual designs established by landscape architects, interior designers, enterprise owners or managers, and individual clients. Includes instruction in applicable principles of horticulture, gardening, plant and soil irrigation and nutrition, turf maintenance, plant maintenance, equipment operation and maintenance, personnel supervision, and purchasing."
01.0606,Plant Nursery Operations and Management.,"A course that prepares individuals to operate and manage outdoor plant farms, tree and shrub nurseries, and related facilities that develop domesticated plant products for propagation, harvesting, and transplantation. Includes instruction in applicable principles of plant science; farm and business management; nursery operations; equipment operation and maintenance; safety procedures; and personnel supervision."
01.0607,Turf and Turfgrass Management.,"A course that focuses on turfgrasses and related groundcover plants and prepares individuals to develop ornamental or recreational grasses and related products; plant, transplant, and manage grassed areas; and to produce and store turf used for transplantation. Includes instruction in applicable plant sciences, genetics of grasses, turf science, use analysis, turf management, and related economics. Examples include golf and sports turf management."
01.0608,Floriculture/Floristry Operations and Management.,"A course that prepares individuals to operate and manage commercial and contract florist enterprises, supply and delivery services, and flower catering services. Includes instruction in the applicable principles of plant science; purchasing, storage, and delivery systems; floral design and arranging; and principles of business management."
01.0698,"House Plants, Indoor Plants and/or Herbaceous Ornamental Plants.","Any applied horticulture and horticultural business services course that deals with topics of house plants, indoor plants, and/or herbaceous ornamental plants."
01.0699,"Applied Horticulture/Horticultural Business Services, Other.",Any course in horticultural service operations not listed above. Examples include aborist; aboriculture.
01.0701,International Agriculture.,"A course that focuses on the application of agricultural management and scientific principles to the problems of global food production and distribution, and to the study of the agricultural systems of other countries. Includes instruction in agricultural economics; comparative agricultural systems; international agribusiness and law; third-world development studies and economic development; and global applications of climate, soil, water resources, ecological and environmental studies, and animal and plant sciences."
01.0800,"Agricultural Public Services, General.",Any course dealing with general topics of agricultural public services.
01.0801,Agricultural and Extension Education Services.,"A course that prepares individuals to provide referral, consulting, technical assistance, and educational services to gardeners, farmers, ranchers, agribusinesses, and other organizations. Includes instruction in basic agricultural sciences, agricultural business operations, pest control, adult education methods, public relations, applicable state laws and regulations, and communication skills."
01.0802,Agricultural Communication/Journalism.,"A course that prepares individuals to apply journalistic, communication, and broadcasting principles to the development, production, and transmittal of agricultural information. Includes instruction in basic journalism, broadcasting, film/video, and communication techniques; the production of technically specialized information products for agricultural audiences; and the principles of agricultural sciences and business operations needed to develop and communicate agricultural subject matter in effective ways."
01.0899,"Agricultural Public Services, Other.",Any course in general agricultural sciences and related services not listed above.
01.0901,"Animal Sciences, General.","A general course that focuses on the scientific principles that underlie the breeding and husbandry of agricultural animals, and the production, processing, and distribution of agricultural animal products. Includes instruction in the animal sciences, animal husbandry and production, and agricultural and food products processing."
01.0902,Agricultural Animal Breeding.,"A course that focuses on the application of genetics and genetic engineering to the improvement of agricultural animal health, the development of new animal breeds, and the selective improvement of agricultural animal populations. Includes instruction in genetics, genetic engineering, population genetics, animal health, animal husbandry, and biotechnology. Also animal reproduction, animal artificial insemination and/or animal sire selection."
01.0903,Animal Health.,"A course that focuses on the application of biological and chemical principles to the study, prevention, and control of diseases in agricultural animal populations. Includes instruction in environmental science, pharmacology, animal population studies, genetics, animal physiology and diet, disease prevention, treatment methodologies, and laboratory and testing procedures."
01.0904,Animal Nutrition.,"A course that focuses on the biology and chemistry of proteins, fats, carbohydrates, water, vitamins, and feed additives as related to animal health and the production of improved animal products. Includes instruction in nutrition science, animal health and physiology, biochemistry, cellular and molecular biology, animal husbandry, and food science."
01.0905,Dairy Science.,"A course that focuses on the application of biological and chemical principles to the production and management of dairy animals and the production and handling of dairy products. Includes instruction in animal sciences, nutrition sciences, food science and technology, biochemistry, and related aspects of human and animal health and safety."
01.0906,Livestock Management.,"A course that focuses on the application of biological and chemical principles to the production and management of livestock animals and the production and handling of meat and other products. Includes instruction in animal sciences, range science, nutrition sciences, food science and technology, biochemistry, and related aspects of human and animal health and safety. Examples include livestock management; meat science."
01.0907,Poultry Science.,"A course that focuses on the application of biological and chemical principles to the production and management of poultry animals and the production and handling of poultry products. Includes instruction in avian sciences, nutrition sciences, food science and technology, biochemistry, hatchery design, and related aspects of human and animal health and safety."
01.0998,"Anatomy of Domestic Animals, Physiology of Domestic Animals and/or Animal Growth","Any animal sciences course that deals with the topics of anatomy of domestic animals, physiology of domestic animals, and/or animal growth."
01.0999,"Animal Sciences, Other.",Any course in the animal sciences not listed above.
01.1001,Food Science.,"A course that focuses on the application of biological, chemical, and physical principles to the study of converting raw agricultural products into processed forms suitable for direct human consumption, and the storage of such products. Includes instruction in applicable aspects of the agricultural sciences, human physiology and nutrition, food chemistry, agricultural products processing, food additives, food preparation and packaging, food storage and shipment, and related aspects of human health and safety including toxicology and pathology. Examples include food safety."
01.1002,Food Technology and Processing.,"A course that focuses on the application of chemical, physical, and engineering principles to the development and implementation of manufacturing, packaging, storage, and distribution technologies and processes for food products. Includes instruction in food engineering, food preservation and handling, food preparation, food packaging and display, food storage and shipment, and related equipment and facilities design, operation, and maintenance. Also food systems."
01.1099,"Food Science and Technology, Other.",Any course in food sciences and technology not listed above.
01.1101,"Plant Sciences, General.","A general course that focuses on the scientific principles that underlie the breeding, cultivation, and production of agricultural plants, and the production, processing, and distribution of agricultural plant products. Includes instruction in the plant sciences, crop cultivation and production, and agricultural and food products processing."
01.1102,Agronomy and Crop Science.,"A course that focuses on the chemical, physical, and biological relationships of crops and the soils nurturing them. Includes instruction in the growth and behavior of agricultural crops, the development of new plant varieties, and the scientific management of soils and nutrients for maximum plant nutrition, health, and productivity. Also seed biology and/or tree fruit science."
01.1103,Horticultural Science.,"A course that focuses on the scientific principles related to the cultivation of garden and ornamental plants, including fruits, vegetables, flowers, and landscape and nursery crops. Includes instruction in specific types of plants, such as citrus; breeding horticultural varieties; physiology of horticultural species; and the scientific management of horticultural plant development and production through the life cycle."
01.1104,Agricultural and Horticultural Plant Breeding.,"A course that focuses on the application of genetics and genetic engineering to the improvement of agricultural plant health, the development of new plant varieties, and the selective improvement of agricultural plant populations. Includes instruction in genetics, genetic engineering, population genetics, agronomy, plant protection, and biotechnology."
01.1105,Plant Protection & Integrated Pest Management.,"A course that focuses on the application of scientific principles to the control of animal, insect and weed infestation of domesticated plant populations and other settings, including agricultural crops; the prevention/reduction of attendant economic loss; and the control of environmental pollution and degradation related to pest infestation and pest control measures. Includes instruction in entomology, applicable animal sciences, plant pathology and physiology, weed science, crop science, and environmental toxicology. Also herbicides and/or insecticides. Examples include pest management; extermination."
01.1106,Range Science and Management.,"A course that focuses on the scientific study of rangelands, arid regions, grasslands, and other areas of low productivity, as well as the principles of managing such resources for maximum benefit and environmental balance. Includes instruction in livestock management, wildlife biology, plant sciences, ecology, soil science, and hydrology."
01.1198,"Horticultural Botany, Plant Propagation and/or Plant Nutrition.","Any plant sciences course that deals with the topics of horticultural botany, plant propagation and/or plant nutrition."
01.1199,"Plant Sciences, Other.",Any course in plant sciences not listed above.
01.1201,"Soil Science and Agronomy, General.","A course that generally focuses on the scientific classification of soils, soil properties, and their relationship to agricultural crops. Includes instruction in soil chemistry, soil physics, soil biology, soil fertility, morphogenesis, mineralogy, hydrology, agronomy, and soil conservation and management. Also soil pollution, soil systems, fertilizers, fertilizers and plant nutrition and/or soil resources."
01.1202,Soil Chemistry and Physics.,"A course that focuses on the application of chemical and physical principles to research and analysis concerning the nature and properties of soils and the conservation and management of soils. Includes instruction in soil and fluid mechanics, mineralogy, sedimentology, thermodynamics, geomorphology, environmental systems, analytical methods, and organic and inorganic chemistry."
01.1203,Soil Microbiology.,"A course that focuses on application of microbiological theory and methods to the study of the organismic properties of soils, soil-plant and soil-animal interactions, and the biological components and effects of soil management strategies. Includes instruction in microbiology and related biological sciences, applicable animal and plant sciences, soil chemistry and physics as related to biological characteristics, and environmental science."
01.1299,"Soil Sciences, Other.",Any course in the soil sciences not listed above. Examples include environmental soil science.
01.9997,Agriculture Co-Op/Work Experience.,"Any agriculture, agriculture operations, and related sciences course that deals with topics of agriculture co-op/work experience."
01.9998,Computer Applications in Agriculture and Agriculture Data Management.,"Any agriculture, agriculture operations, and related sciences course that deals with topics of computer applications in agriculture and agriculture data management."
01.9999,"Agriculture, Agriculture Operations and Related Sciences, Other.","Any course in agriculture, agricultural operations, and related sciences not listed above."
03.0101,"Natural Resources/Conservation, General.","A general course that focuses on the studies and activities relating to the natural environment and its conservation, use, and improvement. Includes instruction in subjects such as climate, air, soil, water, land, fish and wildlife, and plant resources; in the basic principles of environmental science and natural resources management; and the recreational and economic uses of renewable and nonrenewable natural resources."
03.0103,Environmental Studies.,"A course that focuses on environment-related issues using scientific, social scientific, or humanistic approaches or a combination. Includes instruction in the basic principles of ecology and environmental science and related subjects such as policy, politics, law, economics, social aspects, planning, pollution control, natural resources, and the interactions of human beings and nature. Also international environmental issues and/or international environmental policy. Examples include ecosystem studies."
03.0104,Environmental Science.,"A course that focuses on the application of biological, chemical, and physical principles to the study of the physical environment and the solution of environmental problems, including subjects such as abating or controlling environmental pollution and degradation; the interaction between human society and the natural environment; and natural resources management. Includes instruction in biology, chemistry, physics, geosciences, climatology, statistics, and mathematical modeling. Also environmental technology. Examples include bioenvironmental sciences."
03.0199,"Natural Resources Conservation and Research, Other.",Any course in natural resources conservation and research not listed above.
03.0201,Natural Resources Management and Policy.,"A course that prepares individuals to plan, develop, manage, and evaluate programs to protect and regulate natural habitats and renewable natural resources. Includes instruction in the principles of wildlife and conservation biology, environmental science, animal population surveying, natural resource economics, management techniques for various habitats, applicable law and policy, administrative and communications skills, and public relations. Also energy and natural resources, resource measurements, water rights and/or water quality. Examples include ecosystem management."
03.0204,Natural Resource Economics.,"A course that focuses on the application of economic concepts and methods to the analysis of issues such as air and water pollution, land use planning, waste disposal, invasive species and pest control, conservation policies, and related environmental problems. Includes instruction in cost-benefit analysis; environmental impact assessment; evaluation and assessment of alternative resource management strategies; policy evaluation and monitoring; and descriptive and analytic tools for studying how environmental developments affect the economic system. Also economics of environment."
03.0205,"Water, Wetlands, and Marine Resources Management.","A course that prepares individuals to apply the principles of marine/aquatic biology, oceanography, natural resource economics, and natural resources management to the development, conservation, and management of freshwater and saltwater environments. Includes instruction in subjects such as wetlands, riverine, lacustrian, coastal, and oceanic water resources; water conservation and use; flood control; pollution control; water supply logistics; wastewater management; aquatic and marine ecology; aquatic and marine life conservation; and the economic and recreational uses of water resources."
03.0206,Land Use Planning and Management/Development.,"A course that focuses on how public and/or private land and associated resources can be preserved, developed, and used for maximum social, economic, and environmental benefit. Includes instruction in natural resources management, natural resource economics, public policy, regional and land use planning, environmental impact assessment, applicable law and regulations, government and politics, principles of business and real estate land use, statistical and analytical tools, computer applications, mapping and report preparation, site analysis, cost analysis, and communications skills."
03.0207,Natural Resource Recreation and Tourism.,"A course that prepares individuals to plan, develop, and manage tourism in a natural resource setting, with an emphasis on applying environmentally sound, culturally sensitive, and economically sustainable principles. Includes instruction in environmental studies; natural resource management and interpretation; tourism planning, management, and policies; public land use management and policies; communications; marketing; and public relations. Examples include ecotourism; resource recreation and tourism; nature-based tourism; natural resources interpretation; hunting and fishing guide."
03.0208,Natural Resources Law Enforcement and Protective Services.,"A course that prepares individuals to enforce natural resource and environmental protection regulations and laws; and to perform emergency duties to protect human life, property and natural resources, including fire prevention and control measures, and emergency and rescue procedures. Includes instruction in natural and physical sciences, natural resource management, outdoor field skills, firearms and outdoor equipment and vehicle operation, evidence collection and environmental sampling and monitoring, natural resource legislation, environmental compliance techniques, patrol procedures, investigation and report writing, interpersonal skills and crisis intervention, community liaison, public safety, public education, and public relations. Note: this program was re-instated after being deleted from CIP 2000; previously, it was coded as 03.0203."
03.0298,National Parks/Parklands and Geology of National Parks.,Any natural resources management and policy that deals with topics of national parks/parklands and geology of national parks.
03.0299,"Natural Resources Management and Policy, Other.",Any course in natural resources management and policy not listed above.
03.0301,Fishing and Fisheries Sciences and Management.,"A course that focuses on the scientific study of the husbandry and production of non-domesticated fish and shellfish populations for recreational and commercial purposes and the management of fishing and marine/aquatic product processing to ensure adequate conservation and efficient utilization. Includes instruction in the principles of marine/aquatic biology, freshwater and saltwater ecosystems, water resources, fishing production operations and management, fishing policy and regulation, and the management of recreational and commercial fishing activities. Also fish culture."
03.0501,"Forestry, General.","A course that generally prepares individuals to manage and develop forest areas for economic, recreational, and ecological purposes. Includes instruction in forest-related sciences, mapping, statistics, harvesting and production technology, natural resources management and economics, wildlife sciences, administration, and public relations. Also conservation of forest resources."
03.0502,Forest Sciences and Biology.,"A course that focuses on the application of one or more forest-related sciences to the study of environmental factors affecting forests and the growth and management of forest resources. Includes instruction in forest biology, forest hydrology, forest mensuration, silviculture, forest soils, water resources, environmental science, forest resources management, and wood science. Also dendrology, tree growth and development and/or forest pathology."
03.0506,Forest Management/Forest Resources Management.,"A course that prepares individuals to apply principles of forestry and natural resources management to the administration of forest lands and related resources. Includes instruction in silviculture, forest mensuration, forest protection, inventorying, biometrics, geographic information systems, remote sensing, photogrammetry, forest policy and economics, forest land use planning, fire protection and management, and related administrative skills. Examples include silvicutlure; sylviculture."
03.0508,Urban Forestry.,"A course that prepares individuals to apply the principles of forestry and related sciences to the development, care, and maintenance of individual trees and forested areas within or close to areas of dense human habitation. Includes instruction in urban environments; effects of pollution on tree species; environmental design and landscaping; urban pest infestation; urban forest management; and applicable policies and regulations."
03.0509,Wood Science and Wood Products/Pulp and Paper Technology.,"A course that focuses on the application of chemical, physical, and engineering principles to the analysis of the properties and behavior of wood and wood products and the development of processes for converting wood into paper and other products. Includes instruction in wood classification and testing, product development, manufacturing and processing technologies, and the design and development of related equipment and systems."
03.0510,Forest Resources Production and Management.,"A course that focuses on the application of forestry principles to the production, harvesting, and processing of forest resources and that prepares individuals to perform associated technical and managerial functions. Includes instruction in forest production and utilization, industrial forestry, agroforestry, transplantation, timber harvesting, selection and identification of trees, processing technologies and systems, equipment operations and maintenance, and related management skills. Also farm forestry."
03.0511,Forestry Technology/Technician.,"A course that prepares individuals to assist foresters in the management and production of forest resources. Includes instruction in woods and field skills, tree identification, timber measurement, logging and timber harvesting, forest propagation and regeneration, forest fire-fighting, resource management, equipment operation and maintenance, record-keeping, sales and purchasing operations, and personnel supervision."
03.0599,"Forestry, Other.",Any course in forestry not listed above.
03.0601,"Wildlife, Fish and Wildlands Science and Management.","A course that prepares individuals to conserve and manage wilderness areas and the flora, fauna, marine and aquatic life therein, and manage wildlife reservations and zoological/aquarium facilities for recreational, commercial, and ecological purposes. Includes instruction in wildlife biology; marine/aquatic biology; environmental science; freshwater and saltwater ecosystems; natural resources management and policy; outdoor recreation and parks management; the design and operation of natural and artificial wildlife habitats; applicable law and regulations; and related administrative and communications skills."
03.9998,Renewable Natural Resources.,Any natural resources and conservation course that deals with the other topics of renewable natural resources.
03.9999,"Natural Resources and Conservation, Other.",Any course in natural resources and conservation not listed above. Examples include hunting and trapping.
04.0201,Architecture.,"A course that prepares individuals for the independent professional practice of architecture and to conduct research in various aspects of the field. Includes instruction in architectural design, history, and theory; building structures and environmental systems; project and site planning; construction; professional responsibilities and standards; and related cultural, social, economic, and environmental issues. Also architecture design studio, housing design and/or architecture methods."
04.0298,Architecture and Human Behavior.,Any architecture and related services course that deals with topics of architecture and human behavior.
04.0301,"City/Urban, Community and Regional Planning.","A course that prepares individuals to apply principles of planning, analysis, and architecture to the development and improvement of urban areas and surrounding regions, and to function as professional planners. Includes instruction in principles of architecture; master plan development; service, communications, and transportation systems design; community and commercial development; zoning; land use planning; applied economics; policy analysis; applicable laws and regulations; and professional responsibilities and managerial duties. Also cityscape, streetscape, modern city and/or urban form. Examples include urban design."
04.0398,Rural Development.,"Any city/urban, community and regional planning course that deals with topics of rural development."
04.0401,Environmental Design/Architecture.,"A course that prepares individuals to design public and private spaces, indoor and outdoor, for leisure, recreational, commercial, and living purposes, and for professional practice as environmental designers and architects. Includes instruction in the design and planning of public and private open spaces and their relationship to buildings and other aspects of the built environment; facilities management; related aspects of interior design and architecture, landscape architecture, and urban planning; and professional responsibilities and standards. Also environmental systems, energy conscious design and/or barrier free environment."
04.0501,Interior Architecture.,"A course that prepares individuals to apply architectural principles in the design of structural interiors for living, recreational, and business purposes and to function as professional interior architects. Includes instruction in architecture, structural systems design, heating and cooling systems, occupational and safety standards, interior design, specific end-use applications, and professional responsibilities and standards. Also interior design theory, interior design techniques, commercial space, and renovation."
04.0601,Landscape Architecture.,"A course that prepares individuals for the independent professional practice of landscape architecture and research in various aspects of the field. Includes instruction in geology and hydrology; soils, groundcovers, and horticultural elements; project and site planning; landscape design, history, and theory; environmental design; applicable law and regulations; and professional responsibilities and standards."
04.0801,"Architectural History and Criticism, General.","A general course that focuses on the aesthetic, technical, and social development of the built environment and the architectural profession from earliest times to the present. Includes instruction in the principles of architecture and related fields; art history; historiography of architecture; architectural theory and criticism; related aspects of the history of technology and social and economic history; and various period, cultural, and stylistic specializations. Also appreciation of architecture."
04.0901,Architectural Technology/Technician.,"A course that prepares individuals to assist architects in developing plans and related documentation and in performing architectural office services. Includes instruction in architectural drafting, computer-assisted drafting and design, construction methods and materials, environmental systems, building codes and standards, structural principles, cost estimation, planning documentation, visual communication skills, display production, and architectural office management."
04.0902,Architectural and Building Sciences/Technology.,"A course that focuses on the application of advanced technology to building design and construction, retrofitting existing buildings, and efficient operation of buildings, including lighting and daylight design, acoustics, solar design, building conservation, and energy-conscious design. Includes instruction in architecture, building technology, civil and structural engineering, mechanical engineering, environmental control systems, sustainability, and computer tools and applications."
04.0999,"Architectural Sciences and Technology, Other.",Any course in architecture not listed above.
04.1001,Real Estate Development.,"A course that prepares individuals to create and redevelop housing, offices, retail centers, and industrial sites. Includes instruction in architectural design and construction, historic preservation, landscape architecture, urban planning and design, business, real estate and land use law, public policy, and engineering."
04.9999,"Architecture and Related Services, Other.",Any course in architecture and related topics not listed above.
05.0100,"Area Studies, General.",Any course dealing with general topics of area studies.
05.0101,African Studies.,"A course that focuses on the history, society, politics, culture, and economics of one or more of the peoples of the African Continent, usually with an emphasis on Africa south of the Sahara, and including the African diaspora overseas. Also African civilizations, african development, pan-african studies and/or sub-saharan political economy."
05.0102,American/United States Studies/Civilization.,"A course that focuses on the history, society, politics, culture, and economics of the United States and its Pre-Columbian and colonial predecessors, and including the flow of immigrants from other societies. Also American character, American utopias, American dreams and/or American ideals."
